username,password,creditPoints,fullname,phoneNum,rating,numberOfRate
user2,123,100000,The first user,0123456789,5,10
user1,123,100000,The first user,0123456789,5,10
user1,123,100000,The first user,0123456789,5,10
user1,123,100000,The first user,0123456789,5,10
user1,123,100000,The first user,0123456789,5,10
user1,123,100000,The first user,0123456789,5,10
user1,123,100000,The first user,0123456789,5,10
user1,123,100000,The first user,0123456789,5,10
user1,123,100000,The first user,0123456789,5,10
user1,123,100000,The first user,0123456789,5,10
